-46.913, 23.332, 100
-44.913, 23.332, 100
-42.913, 23.332, 100
-40.913, 23.332, 100
-38.913, 23.332, 100
-36.913, 23.332, 100
-34.913, 23.332, 100
-32.913, 23.332, 100
-30.913, 23.332, 100
-28.913, 23.332, 100
-26.913, 23.332, 100
-25.098, 23.939, 100
-23.439, 25.055, 100
-21.779, 26.172, 100
-20.12, 27.288, 100
-18.461, 28.405, 100
-16.801, 29.521, 100
-15.142, 30.637, 100
-13.482, 31.754, 100
-11.823, 32.87, 100
-10.993, 34.432, 100
-10.98, 36.432, 100
-10.966, 38.432, 100
-10.953, 40.432, 100
-10.939, 42.432, 100
-10.926, 44.432, 100
-10.912, 46.432, 100
-10.899, 48.432, 100
-10.886, 50.432, 100
-11.049, 51.615, 100
-11.865, 49.789, 100
-12.681, 47.963, 100
-13.496, 46.137, 100
-14.312, 44.311, 100
-15.128, 42.485, 100
-15.944, 40.659, 100
-16.76, 38.833, 100
-17.576, 37.007, 100
-18.391, 35.181, 100
-19.207, 33.355, 100
-20.023, 31.529, 100
-20.839, 29.703, 100
-21.655, 27.877, 100
-22.471, 26.051, 100
-23.286, 24.225, 100
-23.624, 24.599, 100
-23.609, 26.599, 100
-23.593, 28.599, 100
-23.578, 30.599, 100
-23.562, 32.599, 100
-23.547, 34.599, 100
-23.531, 36.599, 100
-23.515, 38.599, 100
-23.5, 40.599, 100
-23.484, 42.599, 100
-23.469, 44.599, 100
-23.453, 46.599, 100
-24.581, 46.418, 100
-26.217, 45.267, 100
-27.853, 44.117, 100
-29.489, 42.966, 100
-31.125, 41.816, 100
-32.761, 40.665, 100
-34.397, 39.515, 100
-36.032, 38.364, 100
-37.668, 37.213, 100
-39.304, 36.063, 100
-40.799, 36.092, 100
-42.116, 37.597, 100
-43.433, 39.103, 100
-44.75, 40.608, 100
-46.067, 42.113, 100
-47.384, 43.618, 100
-48.701, 45.123, 100
-50.018, 46.628, 100
-51.335, 48.133, 100
-52.652, 49.639, 100
-53.969, 51.144, 100
-55.286, 52.649, 100
-56.603, 54.154, 100
-57.92, 55.659, 100
-59.237, 57.164, 100
-60.554, 58.67, 100
-59.804, 57.852, 100
-58.462, 56.369, 100
-57.121, 54.886, 100
-55.779, 53.403, 100
-54.437, 51.92, 100
-53.095, 50.437, 100
-51.753, 48.954, 100
-50.411, 47.471, 100
-49.07, 45.988, 100
-47.728, 44.505, 100
-46.849, 42.844, 100
-46.857, 40.844, 100
-46.866, 38.844, 100
-46.874, 36.844, 97.693
-46.883, 34.844, 95.058
-46.891, 32.844, 92.347
-46.9, 30.844, 89.554
-46.908, 28.845, 86.672
-46.917, 26.845, 83.69
-46.925, 24.845, 80.598
-46.934, 22.845, 77.382
-46.942, 20.845, 74.027
-46.951, 18.845, 70.512
-46.959, 16.845, 66.813
-46.968, 14.845, 62.897
-46.976, 12.845, 58.72
-46.985, 10.845, 54.222
-46.993, 8.845, 49.315
-47.002, 6.845, 43.863
-47.01, 4.845, 37.63
-47.019, 2.845, 30.133
-47.027, 0.845, 20
-47.03, 0.236, 0
-47.03, 0.236, 0
-47.115, -19.764, 0
endData
127
100
200
-46.913, 23.332, -36.456, 23.332, -36.456, 23.332, -26, 23.332
-26, 23.332, -18.5, 28.378, -18.5, 28.378, -11, 33.424
-11, 33.424, -10.938, 42.715, -10.938, 42.715, -10.875, 52.005
-10.875, 52.005, -17.254, 37.727, -17.254, 37.727, -23.633, 23.449
-23.633, 23.449, -23.541, 35.332, -23.541, 35.332, -23.449, 47.214
-23.449, 47.214, -31.831, 41.319, -31.831, 41.319, -40.213, 35.424
-40.213, 35.424, -50.53, 47.214, -50.53, 47.214, -60.847, 59.005
-60.847, 59.005, -53.846, 51.267, -53.846, 51.267, -46.846, 43.53
-46.846, 43.53, -46.938, 21.883, -46.938, 21.883, -47.03, 0.236
