60.263, 13.198, 100
58.67, 14.407, 100
57.077, 15.617, 100
55.484, 16.826, 100
53.891, 18.035, 100
52.298, 19.244, 100
50.705, 20.454, 100
49.112, 21.663, 100
47.519, 22.872, 100
45.674, 23.332, 100
43.674, 23.332, 100
41.674, 23.332, 100
39.674, 23.332, 100
37.674, 23.332, 100
35.674, 23.332, 100
33.674, 23.332, 100
31.674, 23.332, 100
29.674, 23.332, 100
27.674, 23.332, 100
25.674, 23.332, 100
23.674, 23.332, 100
21.674, 23.332, 100
19.674, 23.332, 100
17.674, 23.332, 100
15.834, 23.618, 100
14.79, 25.324, 100
13.746, 27.03, 100
12.702, 28.736, 100
11.658, 30.442, 100
10.614, 32.148, 100
9.57, 33.854, 100
9.435, 35.819, 100
9.422, 37.819, 100
9.409, 39.819, 100
9.395, 41.819, 100
9.382, 43.819, 100
9.369, 45.819, 100
9.355, 47.819, 100
9.342, 49.818, 100
9.328, 51.818, 100
9.315, 53.818, 100
9.302, 55.818, 100
9.288, 57.818, 100
9.275, 59.818, 100
9.327, 61.466, 100
10.035, 59.595, 100
10.742, 57.724, 100
11.45, 55.853, 100
12.157, 53.983, 100
12.864, 52.112, 100
13.572, 50.241, 100
14.279, 48.37, 100
14.986, 46.5, 100
15.694, 44.629, 100
16.401, 42.758, 100
17.109, 40.888, 100
17.816, 39.017, 100
18.523, 37.146, 100
19.231, 35.275, 100
19.938, 33.405, 100
20.645, 31.534, 100
21.353, 29.663, 100
22.06, 27.792, 100
22.768, 25.922, 100
23.475, 24.051, 100
23.826, 25.174, 100
24.074, 27.159, 100
24.322, 29.143, 100
24.57, 31.128, 100
24.818, 33.112, 100
25.066, 35.097, 100
25.314, 37.081, 100
25.562, 39.066, 100
25.81, 41.051, 100
26.058, 43.035, 100
26.306, 45.02, 100
27.297, 44.839, 100
28.711, 43.425, 100
30.126, 42.011, 100
31.54, 40.597, 100
32.954, 39.183, 100
34.368, 37.768, 100
35.783, 36.354, 100
37.197, 34.94, 100
38.568, 35.151, 100
39.904, 36.639, 100
41.241, 38.127, 100
42.578, 39.614, 100
43.914, 41.102, 100
45.251, 42.59, 100
46.588, 44.078, 100
47.924, 45.565, 100
49.261, 47.053, 100
50.598, 48.541, 100
51.934, 50.028, 100
53.271, 51.516, 100
54.608, 53.004, 100
55.944, 54.492, 100
57.281, 55.979, 100
58.618, 57.467, 100
59.954, 58.955, 100
61.291, 60.442, 100
62.628, 61.93, 100
63.965, 63.418, 100
65.301, 64.906, 100
64.458, 63.956, 100
63.128, 62.462, 100
61.798, 60.968, 100
60.468, 59.474, 100
59.138, 57.98, 100
57.808, 56.487, 100
56.479, 54.993, 100
55.149, 53.499, 100
53.819, 52.005, 100
52.489, 50.511, 100
51.159, 49.018, 100
49.829, 47.524, 100
48.499, 46.03, 100
47.169, 44.536, 100
46.101, 42.94, 100
46.061, 40.94, 100
46.02, 38.941, 100
45.98, 36.941, 100
45.94, 34.942, 100
45.9, 32.942, 100
45.859, 30.942, 100
45.819, 28.943, 100
45.779, 26.943, 100
45.739, 24.944, 100
45.698, 22.944, 100
45.658, 20.944, 100
45.618, 18.945, 100
45.578, 16.945, 100
45.538, 14.946, 100
